package	x86_selection	action	target	reason
geoipupdate	y	migrate	geoipupdate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
geoview	y	migrate	geoview	迁移功能；使用目标源码和依赖，服务默认状态单独适配
getrandom	y	migrate	getrandom	迁移功能；使用目标源码和依赖，服务默认状态单独适配
git	y	migrate	git	迁移功能；使用目标源码和依赖，服务默认状态单独适配
glib2	y	migrate	glib2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
go-nats	y	migrate	go-nats	迁移功能；使用目标源码和依赖，服务默认状态单独适配
grep	y	migrate	grep	迁移功能；使用目标源码和依赖，服务默认状态单独适配
grub2	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
grub2-bios-setup	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
grub2-efi	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
gzip	y	migrate	gzip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
haproxy	y	migrate	haproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
hostapd	y	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
hostapd-basic	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
hostapd-basic-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
hostapd-basic-openssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
hostapd-basic-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
hostapd-common	y	migrate	hostapd-common	迁移功能；使用目标源码和依赖，服务默认状态单独适配
hostapd-utils	y	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
hs20-client	m	build-only	hs20-client	维持 x86 的仅生成 IPK 状态；HS20 实验套件的示例 Web 页面与主站证书修改不自动部署
hs20-common	m	build-only	hs20-common	维持 x86 的仅生成 IPK 状态；HS20 实验套件的示例 Web 页面与主站证书修改不自动部署
hs20-server	m	build-only	hs20-server	维持 x86 的仅生成 IPK 状态；HS20 实验套件的示例 Web 页面与主站证书修改不自动部署
htop	y	migrate	htop	迁移功能；使用目标源码和依赖，服务默认状态单独适配
httping	y	migrate	httping	迁移功能；使用目标源码和依赖，服务默认状态单独适配
hwinfo	y	migrate	hwinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
hysteria	y	migrate	hysteria	迁移功能；使用目标源码和依赖，服务默认状态单独适配
i915-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
i915-firmware-dmc	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
i915-firmware-gsc	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
i915-firmware-guc	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
i915-firmware-huc	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
ibt-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
igmpproxy	y	migrate	igmpproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
intel-microcode	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
ip-bridge	y	migrate	ip-bridge	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ip-full	y	migrate	ip-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ip6tables-extra	y	migrate	ip6tables-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ip6tables-mod-fullconenat	y	migrate	ip6tables-mod-fullconenat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ip6tables-mod-nat	y	migrate	ip6tables-mod-nat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ip6tables-nft	y	migrate	ip6tables-nft	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iperf3	y	migrate	iperf3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ipset	y	migrate	ipset	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ipset-dns	y	migrate	ipset-dns	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ipt2socks	y	migrate	ipt2socks	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-conntrack-extra	y	migrate	iptables-mod-conntrack-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-extra	y	migrate	iptables-mod-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-filter	y	migrate	iptables-mod-filter	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-fullconenat	y	migrate	iptables-mod-fullconenat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-geoip	y	migrate	iptables-mod-geoip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-ipopt	y	migrate	iptables-mod-ipopt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-nat-extra	y	migrate	iptables-mod-nat-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-nfqueue	y	migrate	iptables-mod-nfqueue	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-mod-tproxy	y	migrate	iptables-mod-tproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptables-nft	y	migrate	iptables-nft	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iptgeoip	y	migrate	iptgeoip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
irqbalance	y	migrate	irqbalance	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iw	y	migrate	iw	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iwinfo	y	migrate	iwinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
iwlwifi-firmware-ax101	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-ax200	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-ax201	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-ax210	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-ax411	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-be200	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl100	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl1000	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl105	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl135	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl2000	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl2030	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl3160	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl3168	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl5000	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl5150	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl6000g2	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl6000g2a	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl6000g2b	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl6050	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl7260	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl7265	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl7265d	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl8260c	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl8265	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl9000	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
iwlwifi-firmware-iwl9260	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
jansson	y	migrate	jansson	迁移功能；使用目标源码和依赖，服务默认状态单独适配
jq	y	migrate	jq	迁移功能；使用目标源码和依赖，服务默认状态单独适配
jshn	y	migrate	jshn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
jsonfilter	y	migrate	jsonfilter	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-8139cp	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-8139too	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-acpi-video	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-amazon-ena	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-amd-xgbe	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-asn1-decoder	y	migrate	kmod-asn1-decoder	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-asn1-encoder	y	migrate	kmod-asn1-encoder	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ata-ahci	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ata-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-b43	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-backlight	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-bcma	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-be2net	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-bluetooth	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-bnx2x	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-bnxt-en	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-bonding	y	migrate	kmod-bonding	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-br-netfilter	y	migrate	kmod-br-netfilter	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-brcmsmac	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-brcmutil	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-button-hotplug	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-cfg80211	y	dependency-only		仅允许目标软件依赖解析器按需选择的通用基础组件
kmod-crypto-acompress	y	migrate	kmod-crypto-acompress	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-aead	y	migrate	kmod-crypto-aead	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-arc4	y	migrate	kmod-crypto-arc4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-blake2b	y	migrate	kmod-crypto-blake2b	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-cbc	y	migrate	kmod-crypto-cbc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-ccm	y	migrate	kmod-crypto-ccm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-cmac	y	migrate	kmod-crypto-cmac	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-crc32	y	migrate	kmod-crypto-crc32	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-crc32c	y	migrate	kmod-crypto-crc32c	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-ctr	y	migrate	kmod-crypto-ctr	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-cts	y	migrate	kmod-crypto-cts	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-des	y	migrate	kmod-crypto-des	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-ecb	y	migrate	kmod-crypto-ecb	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-ecdh	y	migrate	kmod-crypto-ecdh	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-gcm	y	migrate	kmod-crypto-gcm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-geniv	y	migrate	kmod-crypto-geniv	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-gf128	y	migrate	kmod-crypto-gf128	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-ghash	y	migrate	kmod-crypto-ghash	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-hash	y	migrate	kmod-crypto-hash	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-hmac	y	migrate	kmod-crypto-hmac	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-kpp	y	migrate	kmod-crypto-kpp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-lib-chacha20	y	migrate	kmod-crypto-lib-chacha20	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-lib-chacha20poly1305	y	migrate	kmod-crypto-lib-chacha20poly1305	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-lib-curve25519	y	migrate	kmod-crypto-lib-curve25519	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-lib-poly1305	y	migrate	kmod-crypto-lib-poly1305	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-manager	y	migrate	kmod-crypto-manager	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-md5	y	migrate	kmod-crypto-md5	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-null	y	migrate	kmod-crypto-null	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-rng	y	migrate	kmod-crypto-rng	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-seqiv	y	migrate	kmod-crypto-seqiv	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-sha1	y	migrate	kmod-crypto-sha1	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-sha256	y	migrate	kmod-crypto-sha256	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-sha3	y	migrate	kmod-crypto-sha3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-sha512	y	migrate	kmod-crypto-sha512	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-user	y	migrate	kmod-crypto-user	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-crypto-xxhash	y	migrate	kmod-crypto-xxhash	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-dax	y	dependency-only		仅允许目标软件依赖解析器按需选择的通用基础组件
kmod-dm	y	migrate	kmod-dm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-dma-buf	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-dnsresolver	y	migrate	kmod-dnsresolver	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-drm	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-amdgpu	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-buddy	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-display-helper	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-exec	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-i915	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
