package	x86_selection	r3_selection	triage	note	x86_version	r3_version	r3_makefile	depends	provides	conflicts	build_depends
bnx2x-firmware	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	20241110-r2	20260221-r2	package/firmware/linux-firmware/Makefile	+libc 			
boost	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.86.0-r1	1.86.0-r1	package/feeds/packages/boost/Makefile	+libc +libstdcpp +libpthread +librt			boost/host
boost-date_time	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.86.0-r1	1.86.0-r1	package/feeds/packages/boost/Makefile	+libc +libstdcpp +libpthread +librt			boost/host
boost-program_options	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.86.0-r1	1.86.0-r1	package/feeds/packages/boost/Makefile	+libc +libstdcpp +libpthread +librt			boost/host
boost-system	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.86.0-r1	1.86.0-r1	package/feeds/packages/boost/Makefile	+libc +libstdcpp +libpthread +librt			boost/host
bridge	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.7.1-r1	1.7.1-r1	package/feeds/packages/bridge-utils/Makefile	+libc 			
bridger	y	n	missing-special	当前目标无此包；不是同名通用包迁移，见报告	2024.04.22~40b1c5b6be4e73a6749cf2997c664520eb20055d						
broadcom-43224-sprom	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	2023.04.27~d36f7fcb37711106a3a2652b576436cb09aa5b6f-r1	2023.04.27~d36f7fcb37711106a3a2652b576436cb09aa5b6f-r1	package/firmware/broadcom-sprom/Makefile	+libc 			
btop	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.4.5-r2	1.4.5-r2	package/feeds/packages/btop/Makefile	+libc +libstdcpp			
btrfs-progs	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	6.11-r1	6.11-r1	package/feeds/packages/btrfs-progs/Makefile	+libc +libattr +libuuid +libmount +zlib +libblkid +liblzo +libpthread +kmod-fs-btrfs +BTRFS_PROGS_ZSTD:libzstd			acl
busybox	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.36.1-r2	1.36.1-r2	package/utils/busybox/Makefile	+libc +BUSYBOX_CONFIG_PAM:libpam +BUSYBOX_CONFIG_NTPD:jsonfilter +(USE_GLIBC&&BUSYBOX_CONFIG_FEATURE_MOUNT_NFS)||(USE_GLIBC&&BUSYBOX_CONFIG_FEATURE_INETD_RPC):libtirpc		busybox-selinux	BUSYBOX_CONFIG_PAM:libpam
ca-bundle	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	20250419-r1	20260223-r1	package/system/ca-certificates/Makefile	+libc 	ca-certs		
ca-certificates	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	20250419-r1	20260223-r1	package/system/ca-certificates/Makefile	+libc 	ca-certs		
cfdisk	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libblkid +libncurses +libsmartcols +libfdisk +libmount			
cgdisk	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.0.10-r1	1.0.10-r1	package/feeds/packages/gptfdisk/Makefile	+libc +libstdcpp +libuuid +libncursesw			
cgi-io	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2022.08.10~901b0f0463c9d16a8cf5b9ed37118d8484bc9176-r21	2026.07.21~31cb3c89f02d918d7f17bf62a80c852fc38a1ca1-r1	package/feeds/packages/cgi-io/Makefile	+libc +libubox +libubus			
chat	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.5.1-r1	2.5.1-r1	package/network/services/ppp/Makefile	+libc 			libpcap
chinadns-ng	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	2025.08.09-r1	2025.08.09-r1	package/feeds/packages/chinadns-ng/Makefile	+libc @(aarch64||arm||i386||mips||mipsel||riscv64||x86_64)			
cifsmount	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	6.11-r2	6.11-r2	package/feeds/packages/cifs-utils/Makefile	+libc +kmod-fs-cifs			
cloudflared	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2025.5.0-r1	2025.5.0-r1	package/feeds/packages/cloudflared/Makefile	+libc @(aarch64||arm||i386||i686||loongarch64||mips||mips64||mips64el||mipsel||riscv64||x86_64) +ca-bundle			golang/host
collectd	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc +libpthread +zlib +libltdl +jshn			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-cpu	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-interface	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-iwinfo	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd +PACKAGE_collectd-mod-iwinfo:libiwinfo			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-load	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-memory	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-network	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd +PACKAGE_COLLECTD_ENCRYPTED_NETWORK:libgcrypt			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
collectd-mod-rrdtool	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.12.0-r54	5.12.0-r56	package/feeds/packages/collectd/Makefile	+libc collectd +PACKAGE_collectd-mod-rrdtool:librrd1			PACKAGE_collectd-mod-write-prometheus:protobuf-c/host
comgt	y	n	modem-review	保留 ModemManager 单一拨号管理；诊断工具可按需保留	0.32-r36	0.32-r36	package/network/utils/comgt/Makefile	+libc +chat			
comgt-directip	y	n	modem-review	保留 ModemManager 单一拨号管理；诊断工具可按需保留	0.32-r36	0.32-r36	package/network/utils/comgt/Makefile	+libc +comgt +kmod-usb-serial +kmod-usb-serial-sierrawireless +kmod-usb-net +kmod-usb-net-sierrawireless			
comgt-ncm	y	n	modem-review	保留 ModemManager 单一拨号管理；诊断工具可按需保留	0.32-r36	0.32-r36	package/network/utils/comgt/Makefile	+libc +comgt +wwan +kmod-usb-serial-option +kmod-usb-net-huawei-cdc-ncm			
conntrack	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.4.8-r1	1.4.8-r1	package/feeds/packages/conntrack-tools/Makefile	+libc +libnetfilter-conntrack +libnetfilter-cttimeout +libnetfilter-cthelper +libnetfilter-queue			libtirpc
conntrackd	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.4.8-r1	1.4.8-r1	package/feeds/packages/conntrack-tools/Makefile	+libc +libnetfilter-conntrack +libnetfilter-cttimeout +libnetfilter-cthelper +libnetfilter-queue			libtirpc
coremark	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2023.01.25~d5fad6bd094899101a4e5fd53af7298160ced6ab-r1	2023.01.25~d5fad6bd094899101a4e5fd53af7298160ced6ab-r1	package/feeds/packages/coremark/Makefile	+libc 			
coreutils	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc 			
coreutils-base64	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-cat	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-cp	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils +libacl			
coreutils-date	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-dd	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-echo	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-kill	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-ln	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-ls	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils +libacl +libcap			
coreutils-mkdir	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-mv	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils +libacl			
coreutils-nohup	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-pwd	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-rm	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-sleep	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-stat	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-tail	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-timeout	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils +librt			
coreutils-touch	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
coreutils-uname	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9.7-r1	9.7-r1	package/feeds/packages/coreutils/Makefile	+libc +coreutils			
cpulimit	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	0.3.2-r1	0.3.2-r1	package/feeds/packages/cpulimit/Makefile	+libc 			
cpusage	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1	1	package/feeds/packages/cpusage/Makefile	+libc 			
cups	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	2.3.3-r1	2.3.3-r1	package/feeds/packages/cups/Makefile	+libc +libcups +libusb-1.0 +libstdcpp			
cups-bjnp	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.0.3-r2	2.0.3-r2	package/feeds/packages/cups-bjnp/Makefile	+libc cups			
cups-bsd	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.3.3-r1	2.3.3-r1	package/feeds/packages/cups/Makefile	+libc +libcups			
cups-client	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.3.3-r1	2.3.3-r1	package/feeds/packages/cups/Makefile	+libc +libcups +libcupsimage			
cups-filters	y	n	heavy-build	存在 aarch64 候选；关注工具链、下载和编译成本	2.3.3-r1	2.3.3-r1	package/feeds/packages/cups/Makefile	+libc +libcups +libcupsimage			
cups-ppdc	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.3.3-r1	2.3.3-r1	package/feeds/packages/cups/Makefile	+libc +libcups +libstdcpp			
curl	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	8.12.1-r1	8.19.0-r2	package/feeds/packages/curl/Makefile	+libc +libcurl			
dbus	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.14.10-r2	1.14.10-r2	package/feeds/packages/dbus/Makefile	+libc +libexpat +libdbus			
ddns-go	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	6.11.2-r1	6.11.2-r1	package/feeds/packages/ddns-go/Makefile	+libc @(aarch64||arm||i386||i686||loongarch64||mips||mips64||mips64el||mipsel||riscv64||x86_64) +ca-bundle			golang/host
default-settings	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	29	29	package/emortal/default-settings/Makefile	+libc +luci			
default-settings-chn	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	29	29	package/emortal/default-settings/Makefile	+libc +default-settings +@LUCI_LANG_zh_Hans +luci-i18n-base-zh-cn			
dejavu-fonts-ttf-DejaVuSans-Bold	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.37-r1	2.37-r1	package/feeds/packages/dejavu-fonts-ttf/Makefile	+libc 			
dhcp-forwarder	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.11-r1	0.11-r1	package/feeds/packages/dhcp-forwarder/Makefile	+libc 			
dhcpcd	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	10.0.10-r1	10.0.10-r1	package/feeds/packages/dhcpcd/Makefile	+libc 			
dmesg	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libncursesw			
dns-over-https	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	2.3.0-r2	2.3.0-r2	package/feeds/packages/dns-over-https/Makefile	+libc @(aarch64||arm||i386||i686||loongarch64||mips||mips64||mips64el||mipsel||riscv64||x86_64)			golang/host
dns2socks	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	2.1-r2	2.1-r2	package/feeds/packages/dns2socks/Makefile	+libc +libpthread			
dns2tcp	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.1.2-r1	1.1.2-r1	package/feeds/packages/dns2tcp/Makefile	+libc 			
dnsforwarder	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	6.6.0-r1	6.6.0-r1	package/feeds/packages/dnsforwarder/Makefile	+libc +coreutils +coreutils-base64 +dnsmasq-full +libpthread +wget-ssl			
dnsmasq-full	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2.90-r5	2.90-r5	package/network/services/dnsmasq/Makefile	+libc +libubus +PACKAGE_dnsmasq_full_dnssec:libnettle +PACKAGE_dnsmasq_full_ipset:kmod-ipt-ipset +PACKAGE_dnsmasq_full_conntrack:libnetfilter-conntrack +PACKAGE_dnsmasq_full_nftset:nftables-json	dnsmasq		
dos2unix	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	7.5.5-r1	7.5.5-r1	package/feeds/packages/dos2unix/Makefile	+libc 	mac2unix		
dosfstools	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	4.2-r4	4.2-r4	package/feeds/packages/dosfstools/Makefile	+libc +BUILD_NLS:libiconv-full			
dropbear	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2024.86-r1	2024.86-r2	package/network/services/dropbear/Makefile	+libc +DROPBEAR_ZLIB:zlib			
e100-firmware	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	20241110-r2	20260221-r2	package/firmware/linux-firmware/Makefile	+libc 			
e2fsprogs	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.47.0-r2	1.47.0-r2	package/utils/e2fsprogs/Makefile	+libc +libuuid +libext2fs +libe2p			util-linux
eapol-test	y	n	wireless-review	依赖主线无线栈，不能作为 MTK 私有驱动管理组件直接套用	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	package/network/services/hostapd/Makefile	+libc +libnl-tiny +ucode +libucode +ucode-mod-fs +ucode-mod-nl80211 +ucode-mod-rtnl +ucode-mod-ubus +ucode-mod-uloop +libubus +libblobmsg-json +libudebug			
eapol-test-mbedtls	m	n	wireless-review	依赖主线无线栈，不能作为 MTK 私有驱动管理组件直接套用	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	package/network/services/hostapd/Makefile	+libc +libnl-tiny +ucode +libucode +ucode-mod-fs +ucode-mod-nl80211 +ucode-mod-rtnl +ucode-mod-ubus +ucode-mod-uloop +libubus +libblobmsg-json +libudebug +PACKAGE_eapol-test-mbedtls:libmbedtls	eapol-test	eapol-test eapol-test-wolfssl	
eapol-test-openssl	m	n	wireless-review	依赖主线无线栈，不能作为 MTK 私有驱动管理组件直接套用	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	package/network/services/hostapd/Makefile	+libc +libnl-tiny +ucode +libucode +ucode-mod-fs +ucode-mod-nl80211 +ucode-mod-rtnl +ucode-mod-ubus +ucode-mod-uloop +libubus +libblobmsg-json +libudebug +PACKAGE_eapol-test-openssl:libopenssl +PACKAGE_eapol-test-openssl:libopenssl-legacy	eapol-test	eapol-test eapol-test-wolfssl	
eapol-test-wolfssl	m	n	wireless-review	依赖主线无线栈，不能作为 MTK 私有驱动管理组件直接套用	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	2024.09.15~5ace39b0a4cdbe18ddbc4e18f80ee3876233c20b-r2	package/network/services/hostapd/Makefile	+libc +libnl-tiny +ucode +libucode +ucode-mod-fs +ucode-mod-nl80211 +ucode-mod-rtnl +ucode-mod-ubus +ucode-mod-uloop +libubus +libblobmsg-json +libudebug +PACKAGE_eapol-test-wolfssl:libwolfssl	eapol-test	eapol-test	
eject	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libblkid +libmount +libuuid			
